date,PostCount
2008-08-22 23:25:45,1.0
2008-08-27 23:25:45,0.0
2008-09-01 23:25:45,0.0
2008-09-06 23:25:45,0.0
2008-09-11 23:25:45,0.0
2008-09-16 23:25:45,0.0
2008-09-21 23:25:45,0.0
2008-09-26 23:25:45,1.0
2008-10-01 23:25:45,0.0
2008-10-06 23:25:45,0.0
2008-10-11 23:25:45,1.0
2008-10-16 23:25:45,1.0
2008-10-21 23:25:45,0.0
2008-10-26 23:25:45,0.0
2008-10-31 23:25:45,0.0
2008-11-05 23:25:45,0.0
2008-11-10 23:25:45,0.0
2008-11-15 23:25:45,0.0
2008-11-20 23:25:45,2.0
2008-11-25 23:25:45,0.0
2008-11-30 23:25:45,0.0
2008-12-05 23:25:45,0.0
2008-12-10 23:25:45,1.0
2008-12-15 23:25:45,0.0
2008-12-20 23:25:45,0.0
2008-12-25 23:25:45,0.0
2008-12-30 23:25:45,0.0
2009-01-04 23:25:45,0.0
2009-01-09 23:25:45,0.0
2009-01-14 23:25:45,0.0
2009-01-19 23:25:45,0.0
2009-01-24 23:25:45,1.0
2009-01-29 23:25:45,0.0
2009-02-03 23:25:45,1.0
2009-02-08 23:25:45,0.0
2009-02-13 23:25:45,0.0
2009-02-18 23:25:45,0.0
2009-02-23 23:25:45,0.0
2009-02-28 23:25:45,0.0
2009-03-05 23:25:45,0.0
2009-03-10 23:25:45,0.0
2009-03-15 23:25:45,0.0
2009-03-20 23:25:45,0.0
2009-03-25 23:25:45,0.0
2009-03-30 23:25:45,2.0
2009-04-04 23:25:45,2.0
2009-04-09 23:25:45,1.0
2009-04-14 23:25:45,2.0
2009-04-19 23:25:45,1.0
2009-04-24 23:25:45,1.0
2009-04-29 23:25:45,1.0
2009-05-04 23:25:45,1.0
2009-05-09 23:25:45,1.0
2009-05-14 23:25:45,0.0
2009-05-19 23:25:45,0.0
2009-05-24 23:25:45,0.0
2009-05-29 23:25:45,1.0
2009-06-03 23:25:45,0.0
2009-06-08 23:25:45,1.0
2009-06-13 23:25:45,0.0
2009-06-18 23:25:45,0.0
2009-06-23 23:25:45,0.0
2009-06-28 23:25:45,1.0
2009-07-03 23:25:45,1.0
2009-07-08 23:25:45,0.0
2009-07-13 23:25:45,1.0
2009-07-18 23:25:45,0.0
2009-07-23 23:25:45,1.0
2009-07-28 23:25:45,0.0
2009-08-02 23:25:45,0.0
2009-08-07 23:25:45,0.0
2009-08-12 23:25:45,0.0
2009-08-17 23:25:45,1.0
2009-08-22 23:25:45,0.0
2009-08-27 23:25:45,1.0
2009-09-01 23:25:45,0.0
2009-09-06 23:25:45,0.0
2009-09-11 23:25:45,2.0
2009-09-16 23:25:45,0.0
2009-09-21 23:25:45,0.0
2009-09-26 23:25:45,2.0
2009-10-01 23:25:45,0.0
2009-10-06 23:25:45,0.0
2009-10-11 23:25:45,2.0
2009-10-16 23:25:45,1.0
2009-10-21 23:25:45,0.0
2009-10-26 23:25:45,1.0
2009-10-31 23:25:45,0.0
2009-11-05 23:25:45,0.0
2009-11-10 23:25:45,1.0
2009-11-15 23:25:45,2.0
2009-11-20 23:25:45,0.0
2009-11-25 23:25:45,2.0
